latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-12.49641107,40.47394497,40.2390,0.8084,"POLYGON((40.4739712630601 -12.4963767819309, 40.4739260385021 -12.4963723755959, 40.473918672523 -12.4964453657048, 40.4739638970938 -12.4964497720396, 40.4739712630601 -12.4963767819309))",5HV2GF3F+CHPC
-12.53031399,40.52164624,26.4100,0.7348,"POLYGON((40.5216659359913 -12.5303462571042, 40.5216583665482 -12.5302782923068, 40.5216265529298 -12.5302817122128, 40.5216341223648 -12.530349677012, 40.5216659359913 -12.5303462571042))",5HV2FG9C+VMCG
-12.53134143,40.48502666,31.2677,0.6680,"POLYGON((40.4850461455314 -12.5313715453938, 40.4850580352072 -12.5313234477293, 40.4850071743083 -12.5313113124927, 40.4849952846227 -12.5313594101559, 40.4850461455314 -12.5313715453938))",5HV2FF9P+F269
-12.53173061,40.48498539,13.1934,0.7988,"POLYGON((40.4850034209906 -12.5317455823937, 40.4850017944619 -12.5317139127883, 40.4849673666529 -12.5317156194386, 40.4849689931777 -12.5317472890447, 40.4850034209906 -12.5317455823937))",5HV2FF9M+8X5P
-12.53147783,40.48498049,13.3497,0.7559,"POLYGON((40.4849947877532 -12.531497505583, 40.4849938088149 -12.5314575048908, 40.4849661741804 -12.5314581576574, 40.4849671531144 -12.5314981583502, 40.4849947877532 -12.531497505583))",5HV2FF9M+CX5V
-12.53115484,40.48514962,19.6228,0.7661,"POLYGON((40.4851544538686 -12.5311850848558, 40.4851733306397 -12.5311349846633, 40.4851447907469 -12.5311246055715, 40.4851259139706 -12.5311747057626, 40.4851544538686 -12.5311850848558))",5HV2FF9P+G3JX
-12.53126830,40.48494690,15.2795,0.6594,"POLYGON((40.4849616078123 -12.5312909209943, 40.4849593539648 -12.5312444139212, 40.4849321953414 -12.5312456842933, 40.4849344491842 -12.531292191367, 40.4849616078123 -12.5312909209943))",5HV2FF9M+FXW7
-12.53110449,40.48505989,20.9775,0.7015,"POLYGON((40.4850856330855 -12.5310898632459, 40.4850448308056 -12.5310792823293, 40.4850341319437 -12.5311191038104, 40.4850749342298 -12.531129684728, 40.4850856330855 -12.5310898632459))",5HV2FF9P+H23X
-12.53114925,40.48504471,30.8751,0.7838,"POLYGON((40.4850749342298 -12.531129684728, 40.4850282599464 -12.5311175810736, 40.4850144941793 -12.5311688176477, 40.485061168472 -12.5311809213035, 40.4850749342298 -12.531129684728))",5HV2FF9P+G2V3
-12.53018592,40.52109452,20.3910,0.7067,"POLYGON((40.5211190641657 -12.5302019739772, 40.5211143503422 -12.5301644748534, 40.5210699749161 -12.5301698589933, 40.5210746887334 -12.5302073581185, 40.5211190641657 -12.5302019739772))",5HV2FG9C+WCHC
-12.53150894,40.48542696,27.5110,0.7606,"POLYGON((40.4854130436754 -12.5314729391179, 40.4853901691011 -12.5314956659812, 40.4854408784104 -12.5315449287252, 40.4854637529836 -12.5315222018576, 40.4854130436754 -12.5314729391179))",5HV2FF9P+95VP
-12.53138130,40.48539343,17.5164,0.7879,"POLYGON((40.4854201823209 -12.5313862612288, 40.4853961503022 -12.5313546839543, 40.485366671362 -12.5313763383105, 40.4853907033799 -12.531407915588, 40.4854201823209 -12.5313862612288))",5HV2FF9P+C5RP
-12.49660514,40.47379399,19.5551,0.7693,"POLYGON((40.4738155743937 -12.4966251559564, 40.4738206809016 -12.4965923607924, 40.4737724148299 -12.4965851048671, 40.4737673083158 -12.4966179000309, 40.4738155743937 -12.4966251559564))",5HV2GF3F+9G3M
-12.49653362,40.47391554,32.8870,0.7627,"POLYGON((40.4739401874362 -12.4965002093568, 40.4739040438329 -12.4964939331718, 40.4738908974825 -12.4965670264412, 40.4739270410961 -12.4965733026266, 40.4739401874362 -12.4965002093568))",5HV2GF3F+9HMM
-12.53173685,40.48503262,14.1153,0.7080,"POLYGON((40.4850525868382 -12.5317229914608, 40.4850169190211 -12.5317184515645, 40.4850126665776 -12.5317506982865, 40.4850483343992 -12.5317552381829, 40.4850525868382 -12.5317229914608))",5HV2FF9P+823C
-12.53135450,40.48566745,13.8501,0.7512,"POLYGON((40.4856927705212 -12.5313571440564, 40.4856588253728 -12.5313309684693, 40.4856421137568 -12.5313518863471, 40.4856760589065 -12.5313780619368, 40.4856927705212 -12.5313571440564))",5HV2FF9P+F73V
-12.53029736,40.52179310,46.9723,0.8036,"POLYGON((40.5218339987803 -12.5303185564592, 40.5218284924409 -12.5302681289323, 40.521752196194 -12.5302761701053, 40.521757702519 -12.5303265976354, 40.5218339987803 -12.5303185564592))",5HV2FG9C+VPM3
-12.53134837,40.48498295,10.6186,0.6930,"POLYGON((40.484995824318 -12.5313657704581, 40.4849948416224 -12.5313302923262, 40.4849700626259 -12.5313309547854, 40.4849710453184 -12.5313664329177, 40.484995824318 -12.5313657704581))",5HV2FF9M+FX93
-12.52992057,40.52160182,43.1210,0.7002,"POLYGON((40.5216507897827 -12.5299324690664, 40.5216447402671 -12.5298945219524, 40.5215528471241 -12.5299086618835, 40.5215588966271 -12.529946609001, 40.5216507897827 -12.5299324690664))",5HV2FGCC+2JQ3
-12.53162794,40.48515273,15.1011,0.7942,"POLYGON((40.4851772330169 -12.5316186800558, 40.4851346578692 -12.5316092356814, 40.4851282316191 -12.5316371969879, 40.4851708067713 -12.5316466413628, 40.4851772330169 -12.5316186800558))",5HV2FF9P+83RX
-12.53140181,40.48530480,11.3671,0.7061,"POLYGON((40.4853231764461 -12.5314140783289, 40.4853126037583 -12.5313813781443, 40.4852864429419 -12.5313895421671, 40.4852970156272 -12.5314222423531, 40.4853231764461 -12.5314140783289))",5HV2FF9P+C4MX
